order_id,order_date,customer_id,product_id,quantity,channel,discount_applied
ORD-50001,2023-11-05,CUST-1716,P-2048,5,Mobile App,0.17
ORD-50002,2023-04-22,CUST-1205,P-2014,5,Online,0.2
ORD-50003,2023-04-02,CUST-1515,P-2035,3,Mobile App,0.0
ORD-50004,2023-12-08,CUST-1727,P-2027,5,Mobile App,0.0
ORD-50005,2023-07-15,CUST-1148,P-2004,1,In-Store,0.0
ORD-50006,2023-03-16,CUST-1859,P-2004,3,In-Store,0.0
ORD-50007,2024-03-20,CUST-1691,P-2048,5,Online,0.0
ORD-50008,2024-02-12,CUST-1817,P-2045,3,In-Store,0.29
,2023-06-10,CUST-1989,P-2036,1,In-Store,0.27
ORD-50010,2023-12-27,CUST-1726,P-2042,3,Mobile App,0.09
ORD-50011,2023-04-01,CUST-1699,P-2005,2,Online,0.0
ORD-50012,2023-10-12,CUST-1270,P-2009,2,Mobile App,0.01
ORD-50013,2023-06-15,CUST-1611,P-2004,5,Mobile App,0.0
ORD-50014,2024-02-06,CUST-1724,P-2021,5,Mobile App,0.0
ORD-50015,2023-10-06,CUST-1549,P-2026,1,In-Store,0.0
ORD-50016,2023-04-22,CUST-1973,P-2049,5,Mobile App,0.0
ORD-50017,2023-12-09,CUST-1354,P-2029,2,Online,0.0
ORD-50018,2023-06-14,CUST-1390,P-2008,4,Mobile App,0.11
ORD-50019,2024-02-16,CUST-1520,P-2029,4,Mobile App,0.0
ORD-50020,2023-02-19,CUST-1171,P-2050,5,Mobile App,0.26
ORD-50021,2023-08-06,CUST-1855,P-2007,2,In-Store,0.0
ORD-50022,2023-02-06,CUST-1764,P-2044,2,Online,0.0
ORD-50023,2024-02-11,CUST-1257,P-2036,1,In-Store,0.0
ORD-50024,2023-07-27,CUST-1443,P-2021,-1,Mobile App,0.0
ORD-50025,2024-01-23,CUST-1763,P-2038,1,Online,0.0
ORD-50026,2023-12-18,CUST-1308,P-2039,1,Mobile App,0.0
ORD-50027,2023-03-22,CUST-1546,P-2015,2,In-Store,0.04
ORD-50028,12/13/23,CUST-1908,P-2047,3,Online,0.0
ORD-50029,2023-01-03,CUST-1586,P-2039,4,Mobile App,0.22
ORD-50030,2023-04-19,CUST-1422,P-2042,5,In-Store,0.0
ORD-50031,2023-04-03,CUST-1687,P-2037,1,In-Store,0.0
ORD-50032,2023-02-07,CUST-1297,P-2043,1,In-Store,0.0
ORD-50033,2023-12-10,CUST-1671,P-2016,1,In-Store,0.0
ORD-50034,2023-11-12,CUST-1675,P-2020,5,In-Store,0.0
ORD-50035,2023-06-10,CUST-1252,P-2015,4,In-Store,0.14
ORD-50036,2023-07-03,CUST-1793,P-2020,4,In-Store,0.04
ORD-50037,2023-10-03,CUST-1201,P-2017,1,Mobile App,0.0
ORD-50038,2023-10-25,CUST-1592,P-2026,5,Mobile App,0.0
ORD-50039,2024-02-01,CUST-1152,P-2024,4,In-Store,0.0
ORD-50040,09/14/23,CUST-1522,P-2006,4,Mobile App,0.0
ORD-50041,2024-01-23,CUST-1526,P-2009,4,Online,0.15
